Stock,Min.lna,Max.lna,Min.lna.c,Max.lna.c,Min.b,Max.b,Min.sd,Max.sd
Alastair,1.3649914353718278,1.4243142258043227,1.7020984488955704,1.7193627356605836,45.66230260186178,49.26620000551236,0.768726222133645,0.8252645041780103
Asitka,1.2362341626856428,1.2362341626856428,1.8925918091799738,1.8925918091799738,661.8710647457276,661.8710647457276,1.1240971276135245,1.1240971276135245
Babine Early Wild,1.083167662166462,1.130908615897133,1.4679611909332058,1.526243457902018,10.701266248837303,11.625138666500465,0.8848155942567895,0.8852880995761372
Babine Late Wild,1.1322271698657245,1.1973172758098554,1.5482510436850436,1.6183325788025047,1.8521197615998863,2.1654947152163384,0.9125824335137198,0.9129708133295338
Babine Mid Wild,1.4470824256908639,1.456293695796449,1.909274531058855,1.9204336456447673,34.372117952247876,34.789383329499536,0.9521878405204984,0.9635579583265539
Bear,1.9721514261498625,1.9721514261498625,2.2472564317520076,2.2472564317520076,179.0022030699639,179.0022030699639,0.7337611915315458,0.7337611915315458
Damdochax,1.7806815132809697,1.7806815132809697,2.042381072835771,2.042381072835771,135.74732868927276,135.74732868927276,0.7212167281333665,0.7212167281333665
Fulton,1.8114430009326883,1.841700624107271,2.2556274499326303,2.2869638255855693,2.293790155624064,2.381234050614359,0.932325817284554,0.9392097938617219
Johnston,0.3035645065800019,0.3035645065800019,0.44316457884973526,0.44316457884973526,54.928033498651956,54.928033498651956,0.4830101967183375,0.4830101967183375
Kitsumkalum,1.292567670245171,1.292567670245171,1.5684028634963796,1.5684028634963796,33.471380530036924,33.471380530036924,0.744412304195851,0.744412304195851
Kitwanga,1.0720717866118192,1.0720717866118192,2.001997126545915,2.001997126545915,108.22867785822444,108.22867785822444,1.3594435011776607,1.3594435011776607
Kwinageese,1.5223861574355757,1.5223861574355757,2.0419953824014696,2.0419953824014696,71.45084994215975,71.45084994215975,1.0153217486979433,1.0153217486979433
Lakelse,1.0010071447499025,1.0010071447499025,1.3181306295260709,1.3181306295260709,47.27842985589356,47.27842985589356,0.7937352537123058,0.7937352537123058
Lower Nass Sea & River Type,1.1980697211216689,1.2276033577194514,1.8251907350650107,1.9439749303189524,18.241128652071662,21.446270087998855,1.1089544183736386,1.187659846484511
Mcdonell,1.6422170665622189,1.6422170665622189,1.83028452822363,1.83028452822363,293.70256023281263,293.70256023281263,0.606902409240834,0.606902409240834
Meziadin,1.2464759003211021,1.7048092915419828,1.3684307915061882,1.9416570031849056,2.405437855221538,4.165469117109354,0.47651705497530683,0.692822908294667
Morice,1.7321367177005498,1.7321367177005498,2.2778716419000284,2.2778716419000284,64.36808030637661,64.36808030637661,1.0424939916024492,1.0424939916024492
Motase,1.5755347094951562,1.5755347094951562,1.871413212476233,1.871413212476233,1659.884029913093,1659.884029913093,0.7565302540992318,0.7565302540992318
Nass,1.6866992309872,1.7385289409772553,1.7863945490268847,1.894462668469355,2.568391538828739,2.7430928485284274,0.4542719260505895,0.5536618087465713
Pinkut,1.3112111889715972,1.380913488563976,1.8118909104380065,1.866914993322521,2.3876990424851563,2.9306307334941266,0.9809849656507457,0.9943158135272527
Skeena,1.332281650414267,1.345197322170471,1.7441611858139092,1.7675617052395736,0.5321621294395324,0.5520400645452384,0.8945746528316678,0.9052805945407807
SkeenaWild,1.186490164909191,1.1932773586890912,1.5962870316711784,1.6061720277804439,1.823546960949861,1.8399238334361756,0.9007684324995123,0.9019770368087292
Slamgeesh,1.348647226322626,1.348647226322626,1.5413909148106064,1.5413909148106064,1987.2224635513398,1987.2224635513398,0.6172807081559737,0.6172807081559737
Sustut,2.37080814039612,2.37080814039612,2.935760194520993,2.935760194520993,1046.083800714462,1046.083800714462,1.0552700651747493,1.0552700651747493
Swan/Stephens,0.9425821331831237,0.9425821331831237,1.453527105598984,1.453527105598984,20.180434267559342,20.180434267559342,1.0084942325996082,1.0084942325996082
