"","MU","StkSeq","Stock","StkNmS","LHAZ","Timing","StkID","Smsy","SgenBM","SmsyBM80p","NumSR","RecCap","Spn_BM_Bad","Spn_BM_OK","Ct_BM_Bad","Ct_BM_OK","Run_BM_Bad","Run_BM_OK","RpS_Avg","RpS_Recent","RpS_Hi","RpS_Lo","RpSAdj_Hi","RpSAdj_Lo","RpSAdj_Recent"
"1","Nass",1,"Lower Nass Sea & River Type","LNassSRT","Nass Sea/River Type",1,1,42584.8889364574,17248.6173285108,34067.9111491659,34,144331.560625452,1403.8473484,5308.19407017,1718.1551188,7672.63619198,2839.6037744,13666.337019,2.9,3.44,3.79114570219959,1.83633296694501,1.30729162144813,0.633218264463795,1.18620689655172
"2","Nass",2,"Meziadin","Meziadin","Upper Nass Lake Type",2,2,155537.908567212,32621.9261280664,124430.32685377,32,2049315.865164,109312,144033.34,75411.42433,215427.976694,193577.42433,369188.144518,2.28,2.06,3.75064884270501,1.80865748530177,1.64502142223904,0.793270826886741,0.903508771929825
"3","Nass",5,"Kwinageese","Kwinag","Upper Nass Lake Type",2,5,7667.11063274606,1899.53778535421,6133.68850619685,32,128695.708957779,433.9,2213.75,502.63791235,3792.49058776416,903.73791235,7170.29639118,2.58,2.87,4.17264521182077,1.90326596946864,1.61730434566697,0.73769998816614,1.11240310077519
"4","Nass",6,"Damdochax","Damdoch","Upper Nass Lake Type",2,6,4402.1967799587,850.987955280414,3521.75742396696,32,49386.5860766762,577.9,1735.38,1282.256215,2331.96205614,2535.7107873,5128.14610202,3.11,2.88,3.89845087261274,2.7554170596034,1.25352118090442,0.885986192798522,0.92604501607717
"5","SkeenaWild",8,"Johnston","Johnston","Lower Skeena Lake Type",3,8,2997.57916554302,1000.80102418068,2398.06333243442,14,30005.6876648705,978.42499136,2493.741258,255.867013269937,1728.1651424,2016.61404783975,4694.54140668,1,NA,1.60796043373248,0.854103962381966,1.60796043373248,0.854103962381966,1.60796043373248
"6","SkeenaWild",10,"Alastair","Alastair","Lower Skeena Lake Type",2,10,11495.2518847773,3295.6646195091,9196.20150782184,54,87481.3472859309,4333.6824283,13611.3425612,846.0190561,2655.714977,6383.3419567,17956.3526718,1.66,0.9,2.37046909896764,1.15487102175286,1.42799343311304,0.695705434790882,0.542168674698795
"7","SkeenaWild",11,"Lakelse","Lakelse","Lower Skeena Lake Type",1,11,8973.03315949031,3948.00816430429,7178.42652759225,55,108721.414322325,3081.3819307,7902.61917843,455.040739,1043.76904318,4039.8462167,9230.99188002175,1.34,1.85,2.29079725313206,0.790326038126852,1.70955018890452,0.589795550840934,1.38059701492537
"8","SkeenaWild",12,"Kitsumkalum","Kitsumk","Lower Skeena Lake Type",4,12,14670.1800450171,3277.49962951444,11736.1440360137,54,71437.4094204636,13853.3752322,19409.03819,4686.80008297793,10185.11601996,22843.93996,31213.952754,2.54,1.3,3.15649160258873,1.45972476058772,1.24271322936564,0.574694787632959,0.511811023622047
"9","SkeenaWild",13,"Mcdonell","Mcdonell","Lower Skeena Lake Type",1,13,2181.0481445209,494.991739612204,1744.83851561672,42,24957.4277545382,3032,3829.44635383,162.868831,442.25706651,3570.1517003,4337.20660242,1.75,2.01,2.81356578331665,1.02955454468252,1.60775187618094,0.588316882675728,1.14857142857143
"10","SkeenaWild",14,"Kitwanga","Kitwanga","Middle Skeena Lake Type",4,14,5943.99502411114,3069.76181900626,4755.19601928891,19,28087.0468579379,231,961.6,109.1569102,318.25331268,458.8400446,1387.0116754,2.82,1.51,4.44102536671342,1.1533593705382,1.57483169032391,0.5,0.535460992907801
"11","SkeenaWild",16,"Morice","Morice","Middle Skeena Lake Type",2,16,10389.7501445362,2159.91252615087,8311.80011562892,54,152806.849206525,6865.7158437,13529.977774,2422.2670028,4758.69886502,9880.4749251,18367.9150576,2.58,1.73,4.37547352686328,1.60528765265855,1.69591997165243,0.622204516534323,0.670542635658915
"12","SkeenaWild",17,"Swan/Stephens","SwanSteph","Middle Skeena Lake Type",2,17,20661.628617022,11094.9242053485,16529.3028936176,54,190264.96991952,4800.03143766,10825.22614428,899.35297392,3351.52779107,6027.28880382,14825.62818788,1.64,1.05,1.94709004683324,1.23349674041581,1.18725002855686,0.752132158790129,0.640243902439024
"13","SkeenaWild",18,"Babine Early Wild","Bab-EW","Middle Skeena Lake Type",3,18,42048.2910087489,17194.4445672373,33638.6328069991,55,744923.839222357,16167.361496,26790.8970447,3511.2112884,23293.3694769,26706.843027,50103.3688366,1.86,1.1,2.71260856589137,1.14673061168184,1.45839170209214,0.61652183423755,0.591397849462366
"14","SkeenaWild",19,"Babine Late Wild","Bab-LW","Middle Skeena Lake Type",5,19,246617.993415955,94606.5404119837,197294.394732764,55,2560923.9074958,83671.064839,107291.72684,43982.69898,88125.671203,135907.75546,229326.752697,2.14,1.54,3.48111108458432,1.18212952486946,1.62668742270295,0.552396974238067,0.719626168224299
"15","SkeenaWild",20,"Babine Mid Wild","Bab-MW","Middle Skeena Lake Type",4,20,17200.213032319,4791.33852259604,13760.1704258552,55,209877.297471456,7311.2402305,12560.5679787,4001.1028206,11995.31770218,15696.081587,25192.3844034,2.32,2.18,3.36026061270472,1.181979818754,1.44838819513134,0.50947405980776,0.939655172413793
"16","SkeenaWild",24,"Slamgeesh","Slamg","Upper Skeena Lake Type",4,24,268.333715646215,86.032853255589,214.666972516972,14,2495.67054384,158.8,328.72,85.2817135,174.352737582,254.6206971,470.15470478,1.46,2.65,2.01186154390274,1.17615258793881,1.37798735883749,0.805583964341654,1.37798735883749
"17","SkeenaWild",25,"Motase","Motase","Upper Skeena Lake Type",4,25,509.059117406342,160.20050195572,407.247293925073,17,14616.6077183189,84.666666665,275.528900925,69.5007992,172.371924125,207.6302628,390.2945993,1.98,4.01,3.03609746989571,1.20807809898475,1.53338256055339,0.610140454032702,1.53338256055339
"18","SkeenaWild",26,"Bear","Bear","Upper Skeena Lake Type",4,26,4465.33484138656,650.488412646505,3572.26787310924,49,46985.442535032,2069.23047511,5733.009446957,1196.83356784,2557.14655015,3465.07202765,10318.461558155,2.13,2.44,3.07185800541989,1.67555079954652,1.44218685700464,0.786643567862216,1.14553990610329
"19","SkeenaWild",27,"Asitka","Asitka","Upper Skeena Lake Type",NA,27,820.676619935108,353.371317379886,656.541295948086,24,4855.281343017,262.79077784,527.969230768,92.100641356,268.942399604,369.63983418,952.989995792,1.59,4.09,2.43433239871177,0.916967815466558,1.53102666585646,0.576709317903496,1.53102666585646
"20","SkeenaWild",28,"Sustut","Sustut","Upper Skeena Lake Type",3,28,766.069270753384,85.4111876667836,612.855416602708,27,12024.4822808909,471.599999988,1171.4,673.333030324,1160.388331796,1517.37415806,2747.141861488,3.63,3.1,5.49336010539164,2.01223273881502,1.5133223430831,0.554334087827828,0.853994490358127
