Year,n,Unk,pUnk,nStatus,Red,Amber,Green,pRed,pGreen,pNotGreen
1982,22,8,0.36,14,4,5,5,0.29,0.36,0.77
1983,22,8,0.36,14,3,6,5,0.21,0.36,0.77
1984,22,9,0.41,13,2,6,5,0.15,0.38,0.77
1985,22,9,0.41,13,1,8,4,0.08,0.31,0.82
1986,22,10,0.45,12,1,5,6,0.08,0.5,0.73
1987,22,7,0.32,15,2,5,8,0.13,0.53,0.64
1988,22,7,0.32,15,2,6,7,0.13,0.47,0.68
1989,22,8,0.36,14,2,5,7,0.14,0.5,0.68
1990,22,7,0.32,15,3,9,3,0.2,0.2,0.86
1991,22,7,0.32,15,2,6,7,0.13,0.47,0.68
1992,22,7,0.32,15,2,4,9,0.13,0.6,0.59
1993,22,7,0.32,15,2,5,8,0.13,0.53,0.64
1994,22,8,0.36,14,0,6,8,0,0.57,0.64
1995,22,8,0.36,14,0,3,11,0,0.79,0.5
1996,22,8,0.36,14,0,2,12,0,0.86,0.45
1997,22,8,0.36,14,0,4,10,0,0.71,0.55
1998,22,10,0.45,12,0,4,8,0,0.67,0.64
1999,22,9,0.41,13,0,4,9,0,0.69,0.59
2000,22,8,0.36,14,1,4,9,0.07,0.64,0.59
2001,22,7,0.32,15,1,3,11,0.07,0.73,0.5
2002,22,6,0.27,16,1,3,12,0.06,0.75,0.45
2003,22,6,0.27,16,1,1,14,0.06,0.88,0.36
2004,22,6,0.27,16,1,2,13,0.06,0.81,0.41
2005,22,6,0.27,16,1,2,13,0.06,0.81,0.41
2006,22,6,0.27,16,1,6,9,0.06,0.56,0.59
2007,22,6,0.27,16,2,4,10,0.12,0.62,0.55
2008,22,7,0.32,15,2,5,8,0.13,0.53,0.64
2009,22,7,0.32,15,2,6,7,0.13,0.47,0.68
2010,22,7,0.32,15,2,6,7,0.13,0.47,0.68
2011,22,7,0.32,15,0,6,9,0,0.6,0.59
2012,22,7,0.32,15,0,3,12,0,0.8,0.45
2013,22,7,0.32,15,2,2,11,0.13,0.73,0.5
2014,22,7,0.32,15,1,3,11,0.07,0.73,0.5
2015,22,7,0.32,15,1,3,11,0.07,0.73,0.5
2016,22,7,0.32,15,2,2,11,0.13,0.73,0.5
2017,22,7,0.32,15,3,2,10,0.2,0.67,0.55
2018,22,6,0.27,16,2,4,10,0.12,0.62,0.55
2019,22,6,0.27,16,2,4,10,0.12,0.62,0.55
